FIRE_ID,FireName,FireYear,dNBROffset,NoData,IncGreen,Low,Mod,High
wa4798811893420010710,DAM TOWER,2001,7,-970,-150,155,284,475
wa4799112039420040626,POT PEAK-SISI RIDGE COMPLEX,2004,-27,-970,-150,165,396,675
wa4799112039420040626,POT PEAK-SISI RIDGE COMPLEX,2004,-27,-970,-150,165,396,675
wa4800911890620040729,ELMER CITY,2004,38,-970,-150,70,320,600
wa4800911901520080802,SMITH LAKE FIRE,2008,-22.2,-970,-150,65,485,
wa4801011889620120814,BUFFALO LAKE ROAD,2012,26,-970,-150,80,360,
wa4801012018120020715,DEER POINT,2002,-3,-970,-150,125,281,490
wa4802112085920030905,MAPLE,2003,68,-970,-150,160,475,650
wa4802112085920030905,MAPLE,2003,68,-970,-150,160,475,650
wa4802112085920030905,MAPLE,2003,68,-970,-150,160,475,650
wa4802112085920030905,MAPLE,2003,68,-970,-150,160,475,650
wa4802412060120140716,DUNCAN,2014,9,-970,-150,70,234,440
wa4803111998320120916,GOAT,2012,32,-970,-150,80,200,480
wa4803511872220040409,TOLMAN,2004,25,-970,-150,100,291,525
wa4804011878020070910,MANILA CREEK,2007,4,-970,-150,200,395,650
wa4805112058820120908,PYRAMID,2012,74,-970,-150,120,220,530
wa4806011985120120801,CRANE ROAD,2012,-31,-970,-150,50,280,
wa4806811948120060930,HIGHLAND ROAD,2006,-47,-970,-150,20,360,
wa4807111935120120908,TIMM BROTHERS,2012,-37,-970,-150,60,,
wa4807811937320080704,STUBBLEFIELD POINT,2008,72.318,-970,-150,95,375,
wa4810111872420030718,MCGINNIS FLATS,2003,27,-970,-150,110,313,560
wa4810311897420090916,MILEPOST 38,2009,-8,-970,-150,125,300,499
wa4810312002920050908,SQUAW CREEK,2005,-4,-970,-150,45,233,455
wa4811112069920060706,TINPAN,2006,41,-970,-150,190,322,520
wa4814011936220010813,GOOSE LAKE,2001,-6,-970,-150,100,250,450
wa4814411960220010808,DAN CANYON,2001,-63,-970,-150,40,298,580
wa4814412059320070805,DOMKE LAKE COMPLEX,2007,-11,-970,-150,150,323,550
wa4814412059320070805,DOMKE LAKE COMPLEX,2007,-11,-970,-150,150,323,550
wa4816111916120040626,HOPKINS CANYON COMPLEX,2004,72,-970,-150,120,300,500
wa4816212046320010812,REX CREEK COMPLEX (REX CREEK),2001,14,-970,-150,180,380,635
wa4816512002120120909,OKANOGAN COMPLEX,2012,17,-970,-150,90,263,480
wa4817812013520120908,BUCKHORN,2012,-37,-970,-150,80,281,520
wa4819711984220010813,UNNAMED,2001,3.963,-970,-150,209,383,620
wa4819811919920080807,COLUMBIA RIVER ROAD,2008,25.125,-970,-150,150,450,
wa4820111938520050712,WEST OMAK LAKE,2005,104,-970,-150,175,346,575
wa4821112010220140714,CARLTON COMPLEX,2014,-10,-970,-150,50,297,570
wa4821112010220140714,CARLTON COMPLEX,2014,-10,-970,-150,50,297,570
wa4821112010220140714,CARLTON COMPLEX,2014,-10,-970,-150,50,297,570
wa4822012015920010709,LIBBY SOUTH,2001,-12,-970,-150,130,332,580
wa4822111904420060419,MINERAL RIDGE HFR,2006,-30,-970,-150,10,163,350
wa4822311935320070830,SOUTH OMAK LAKE,2007,79.28,-970,-150,160,259,425
wa4822512060220130728,MOORE POINT,2013,-4,-970,-150,54,300,590
wa4823011870220140804,DEVILS ELBOW COMPLEX,2014,32,-970,-150,70,299,560
wa4825311961220010813,VIRGINIA L,2001,-50,-970,-150,0,281,575
wa4829512061020060726,FLICK CREEK,2006,16,-970,-150,200,325,520
wa4830911934320010814,ST MARYS,2001,3,-970,-150,75,362,675
wa4834411973320090821,ODEN ROAD,2009,-7,-970,-150,100,321,580
wa4834611957520080701,JACKASS BUTTE,2008,48.254,-970,-150,120,390,
wa4835311951820060822,CAMERON LAKE ROAD,2006,-56,-970,-150,95,375,500
wa4835412068420100729,RAINBOW BRIDGE,2010,-38,-970,-150,75,368,685
wa4835412068420100729,RAINBOW BRIDGE,2010,-38,-970,-150,75,368,685
wa4835611937820080710,HWY 155 MM 73,2008,48.254,-970,-150,120,400,
wa4835612062720140714,LONE MOUNTAIN 1,2014,2,-970,-150,106,218,456
wa4836211916920100417,JIM CREEK WUI,2010,17,-970,-150,70,300,
wa4837011945020121002,ST MARYS MISSION ROAD,2012,-32,-970,-150,10,230,
wa4841512096920010813,REX CREEK COMPLEX (GLORY MOUNTAIN),2001,-0.48,-970,-150,130,302,525
wa4841512096920010813,REX CREEK COMPLEX (GLORY MOUNTAIN),2001,-0.48,-970,-150,130,302,525
wa4842512040320140802,LITTLE BRIDGE CREEK,2014,8,-970,-150,70,267,500
wa4844512111120030815,MINERAL PARK,2003,2,-970,-150,90,341,625
wa4844911961520080731,GREEN LAKE,2008,-14.052,-970,-150,80,500,
wa4846311944220050704,SECOND HUD,2005,85,-970,-150,120,475,
wa4849511909420010813,VIRGINIA LAKE COMPLEX (BAILEY MOUNTAIN),2001,33,-970,-150,150,350,600
wa4852612058020060822,CEDAR CREEK,2006,25,-970,-150,160,273,450
wa4853211998720060724,TRIPOD COMPLEX (TRIPOD),2006,12,-970,-150,170,303,500
wa4861211943120070714,TUNK GRADE,2007,72.58,-970,-150,160,303,507
wa4863511906420050806,BURNT BREAD,2005,6,-970,-150,35,264,520
wa4864912062420030805,NEEDLES,2003,-1,-970,-150,175,305,500
wa4865811989020030907,ISABEL,2003,73.382,-970,-150,209,393,640
wa4869311918120080628,CAYUSE,2008,54.71,-970,-150,100,425,
wa4876712026320140805,UPPER FALLS,2014,-3,-970,-150,70,218,410
wa4878912112820030805,BIGBEAVER,2003,9,-970,-150,180,410,690
wa4881712003020010709,THIRTY MILE,2001,24,-970,-150,175,413,700
wa4883712016920030630,FAWN PEAK COMPLEX (FAREWELL),2003,-47,-970,-150,175,289,470
wa4884111998320060703,TRIPOD COMPLEX (SPUR PEAK),2006,45,-970,-150,100,304,550
wa4889812049420020817,QUARTZ MT. COMPLEX (MIDDLE MOUNTAIN),2002,50,-970,-150,210,318,500
wa4892012027620060905,VAN PEAK,2006,27,-970,-150,135,328,570
wa4896311932420030630,UNNAMED,2003,-5,-970,-150,80,313,580
wa4896412045520020817,QUARTZ MT. COMPLEX (QUARTZ MOUNTAIN),2002,6,-970,-150,150,350,600
wa4896412045520020817,QUARTZ MT. COMPLEX (QUARTZ MOUNTAIN),2002,6,-970,-150,150,350,600
wa4896911967320070707,LITTLE CHOPAKA,2007,80,-970,-150,120,258,450
wa4897812059620060822,TATOOSH COMPLEX,2006,8.8,-970,-150,115,425,800
wa4897812059620060822,TATOOSH COMPLEX,2006,8.8,-970,-150,115,425,800
ca4103512348820130810,CORRAL COMPLEX,2013,0,-970,-150,54,310,596
ca4105912302720080621,BEAR WALLOW COMPLEX (CARIBOU),2008,9,-970,-150,200,395,650
ca4107012343620090702,BACKBONE,2009,-35,-970,-150,50,232,450
ca4107312329420080621,IRON AND ALPS COMPLEXES (CAREY),2008,56,-970,-150,145,321,550
ca4109112300620060724,RUSH,2006,11,-970,-150,100,277,500
ca4113012386620100915,COYOTE RX,2010,-32,-970,-150,120,,
ca4113712382920050921,COYOTE,2005,1,-970,-150,70,280,
ca4114112280520140802,COFFEE COMPLEX,2014,-8,-970,-150,70,267,500
ca4115812340520090705,REDSPOT,2009,-9,-970,-150,60,252,480
ca4120212362120091007,MILL CREEK 4,2009,-4,-970,-150,50,313,600
ca4126812300220140731,WHITES,2014,-5,-970,-150,80,287,530
ca4127312332120020609,FORKS,2002,-15,-970,-150,105,280,502
ca4130012313520130731,SALMON RIVER COMPLEX,2013,0,-970,-150,54,296,566
ca4133312337620130731,BUTLER,2013,0,-970,-150,54,334,636
ca4133612346520060724,ORLEANS COMPLEX,2006,4,-970,-150,85,312,575
ca4134912330820080620,BEAR WALLOW COMPLEX (UKONOM),2008,5,-970,-150,150,323,550
ca4141412317720060723,UNCLES COMPLEX,2006,4,-970,-150,130,326,570
ca4142612330620060724,HANCOCK,2006,15,-970,-150,100,318,575
ca4148912327020050920,WOOLEY,2005,10,-970,-150,105,328,590
ca4150512318420080628,BEAR WALLOW COMPLEX (ANTHONY MILNE),2008,12,-970,-150,140,330,570
ca4152312316420140813,MAN,2014,-6,-970,-150,70,267,500
ca4154112338120080722,PANTHER,2008,22,-970,-150,110,324,580
ca4154812306220140731,LOG,2014,-1,-970,-150,70,283,530
ca4156612316620090821,RED ROCK,2009,-25,-970,-150,80,265,490
ca4160912335520060723,TITUS,2006,4,-970,-150,100,310,560
ca4161412365820080621,SISKIYOU-BLUE 2 COMPLEX (BLUE 2),2008,19,-970,-150,180,329,540
ca4161712327920070710,ELK COMPLEX (ELK),2007,2,-970,-150,115,326,580
ca4162512353920010915,HAPPY CAMP COMPLEX (SWILLUP),2001,17,-970,-150,110,357,640
ca4166912331420020722,STANZA,2002,-15,-970,-150,105,306,550
ca4168112341420070710,ELK COMPLEX (KING CREEK 2),2007,-2,-970,-150,80,313,580
ca4179612337420140814,HAPPY CAMP COMPLEX,2014,1,-970,-150,50,254,490
ca4180412341220070710,ELK COMPLEX (LITTLE GRIDER),2007,3,-970,-150,80,324,600
ca4184212270320070710,CHINA BACK COMPLEX,2007,-5,-970,-150,70,282,530
ca4186612288320000721,BARK,2000,77,-970,-150,150,400,670
ca4186812276120010509,JONES,2001,25,-970,-150,105,355,640
ca4188812325320120805,FORT COMPLEX,2012,9,-970,-150,80,324,600
ca4192412288020140730,KNF BEAVER,2014,6,-970,-150,50,275,530
ca4196012323320120805,HELLO,2012,26,-970,-150,80,324,600
co3701010497920020601,SPRING,2002,67,-970,-150,174,350,565
co3715210689620050622,RIO BLANCO WFU,2005,9,-970,-150,150,350,600
co3739910480620060107,MAURICIO CANYON,2006,-50,-970,-150,180,361,600
co3743010682020130927,UNNAMED,2013,-45,-970,-150,120,342,605
co3745910490420130619,EAST PEAK,2013,57,-970,-150,100,359,650
co3746210694320130605,WEST FORK COMPLEX,2013,67,-970,-150,120,339,600
co3758810686320130605,WEST FORK COMPLEX - EAST ZONE,2013,-26,-970,-150,100,332,600
co3761310527620060618,MATO VEGA,2006,56,-970,-150,85,299,550
co3763510662120020619,MILLION,2002,20,-970,-150,200,342,550
co3781310546020100606,MEDANO,2010,-32,-970,-225,40,309,600
co3816010503620050706,MASON,2005,14,-970,-150,150,393,680
co3817710507320121023,WETMORE,2012,23,-970,-150,150,286,480
co3823310568320110612,DUCKETT,2011,57,-970,-150,110,268,475
co3833310547320020602,IRON MOUNTAIN,2002,5,-970,-150,250,322,480
co3845410535020130611,ROYAL GORGE,2013,-79,-970,-150,50,300,
